Problem Name,default,emphasis_easycip,emphasis_feasibility,emphasis_hardlp,emphasis_optimality,heuristics_aggressive,heuristics_fast,heuristics_off,presolving_aggressive,presolving_fast,presolving_off,separating_aggressive,separating_fast,separating_off
bnatt350,60000.0,,,,60000.0,,60000.0,60000.0,,,,60000.0,,
bnatt400,60000.0,60000.0,60000.0,,60000.0,60000.0,60000.0,60000.0,60000.0,,,60000.0,,
cdma,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,59936.14,60000.0,60000.0,60000.0
circ10-3,60000.0,60000.0,58348.45,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0
co-100,55212.704000000005,53524.96,53712.126000000004,54895.91,55162.295999999995,54972.23999999999,55215.058,60000.0,60000.0,53397.22,55201.592000000004,55234.81800000001,55083.71799999999,50109.938
core2536-691,1580.9299999999998,8760.376,1512.2250000000001,9771.848,2131.938,1564.5425,7428.698000000001,50558.416666666664,1508.625,2332.4139999999998,2360.708,1890.9060000000002,1564.0349999999999,1834.57
core4872-1529,10299.34,18693.364,13037.065999999999,18682.396,15235.560000000001,13083.774,13108.8,60000.0,10870.742,13720.591999999999,14082.172,12753.51,10258.84,17966.588
cov1075,6129.892,10435.645999999999,6090.158,6130.338,6756.9619999999995,6076.639999999999,6282.2159999999985,6483.165999999999,6135.9980000000005,6128.076,6242.26,6110.778,6630.3,6563.436
csched010,19063.284,22012.716,17369.838,21672.542,19868.818,13995.658,19412.294,22593.698,14911.624,15494.151999999998,23413.958000000002,17805.574,14322.056,13359.405999999999
d10200,273.04200000000003,475.0400000000001,234.66799999999998,739.02,341.622,217.91400000000004,10676.566,60000.0,291.31800000000004,215.946,280.614,248.458,272.994,273.02799999999996
d20200,1152.8359999999998,3347.5520000000006,1153.0459999999998,2997.194,1664.45,1074.474,3332.8259999999996,60000.0,1165.432,1007.4300000000001,1068.0579999999998,1098.56,1153.876,1153.0059999999999
dano3_5,4072.51,3433.6949999999997,,4143.12,4089.25,4022.405,4027.9049999999997,38597.695999999996,3448.77,4234.155,3670.0266666666666,4042.15,3800.816666666667,3731.135
dano3mip,24031.674,24340.010000000002,25012.764,22446.21,24350.858,25352.61,24336.772000000004,60000.0,23560.81,23830.138,23664.338000000003,23969.832000000002,21648.345999999998,19078.586
danoint,3402.858,3819.184,3419.4479999999994,3801.0100000000007,6286.459999999999,3407.732,3638.59,3951.672,3548.208,3343.404,3429.7539999999995,3627.7599999999998,3376.2519999999995,3607.6439999999993
dc1c,8761.35,53787.454000000005,12580.144,57065.55,29590.03,13650.173999999999,56910.916000000005,60000.0,8474.492,8420.462,8737.696,10873.678,8632.180000000002,10373.344000000001
dc1l,24023.076,58771.958,26763.926,58690.736,60000.0,25271.174,58569.444,60000.0,24128.512000000002,28192.806,20591.888,60000.0,26430.374,15762.076000000001
dg012142,49877.742,56152.462,49128.882,56271.89,57289.524,49213.318,56814.238,60000.0,50157.051999999996,48765.986,50651.848000000005,49916.39600000001,49476.094,49478.344
dolom1,57636.522,59632.458,55744.585999999996,59652.226,59201.534,57260.212,59634.39399999999,60000.0,57503.898,57442.657999999996,57919.634,57978.056000000004,57629.208000000006,57633.958
ds,55454.219999999994,57781.25,56303.06800000001,58230.148,58363.252,56436.564,57827.384,59194.704000000005,55827.333999999995,56496.666000000005,56758.48,57150.545999999995,55491.678,56036.514
ds-big,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0
eilA101-2,27401.99,34059.428,31940.420000000002,30145.159999999996,31708.066000000003,28754.109999999997,33520.566000000006,38408.686,37286.45599999999,28068.998,34882.094000000005,32360.268,27430.920000000002,30900.340000000004
ex1010-pi,9800.4,14742.552,10597.434,14654.819999999998,13751.954000000002,10667.8,13658.818,49058.09,9807.242,10300.323999999999,10216.646,10617.48,9799.887999999999,9816.963999999998
fiball,3495.386,7842.478,3165.37,6770.772,5142.622,3126.8460000000005,7882.8240000000005,58616.00800000001,4212.593999999999,3318.124,3096.5559999999996,4383.144,2977.29,2596.4500000000003
g200x740i,12477.576,33865.88,28498.768,26759.985999999997,22189.928,11912.552,23078.204000000005,37014.726,12528.702000000001,12462.641999999998,16750.556,14542.210000000001,28026.442,51906.297999999995
ger50_17_trans,7675.2699999999995,60000.0,10826.439999999999,60000.0,7752.710000000001,8502.672,60000.0,60000.0,7622.894,7638.089999999999,6232.856000000001,7641.55,6454.7,8629.424000000003
germanrr,49254.052,60000.0,25337.186,60000.0,60000.0,50786.528000000006,60000.0,60000.0,53410.426,48960.028000000006,43525.642,44010.192,40019.558000000005,13134.478
germany50-DBM,5474.1359999999995,6018.964,9325.255999999998,5744.054,7066.248,7696.022,5953.322,8278.672000000002,5460.8060000000005,5455.154,5454.588000000001,5366.051999999999,5497.875999999999,5660.896
glass4,26916.109999999997,37638.084,26541.942,36577.856,31634.416000000005,28358.149999999998,38933.928,37570.166,26873.238,27184.977999999996,33145.778,22352.606,27079.626,26977.832000000002
gmu-35-40,47.89,63.206,120.58599999999998,78.5,72.928,122.194,81.764,1189.5720000000001,53.89200000000001,43.504000000000005,37.876,49.546,48.644,47.922000000000004
gmut-75-50,3885.428,3727.536,3039.638,2562.152,17458.962,3485.9399999999996,3608.046,60000.0,5802.8099999999995,3676.0519999999997,4727.67,16641.988,3862.488,3903.4080000000004
gmut-77-40,1413.036,1292.4479999999999,1413.1200000000001,1193.292,4239.62,1204.6380000000001,1230.452,60000.0,1694.5639999999999,1564.254,1323.784,3578.054,1418.6560000000002,1350.348
go19,4110.674000000001,4173.344,4300.839999999999,4807.36,5734.130000000001,4172.006,4112.678,4641.342,4108.374000000001,4118.590000000001,4153.572,4187.817999999999,4128.072,3940.4979999999996
