Settings,,default,no-redcost,default,no-redcost
,,Time,Time,Status,Status
ProblemName,Seed,,,,
iis-pima-cov,0.0,229.55,211.86,ok,ok
iis-pima-cov,1.0,234.65,218.08,ok,ok
iis-pima-cov,2.0,220.05,226.58,ok,ok
iis-pima-cov,3.0,226.04,220.11,ok,ok
iis-pima-cov,4.0,235.64,202.68,ok,ok
iis-pima-cov,5.0,233.13,226.6,ok,ok
iis-pima-cov,6.0,213.3,213.53,ok,ok
iis-pima-cov,7.0,240.48,203.95,ok,ok
iis-pima-cov,8.0,259.18,258.97,ok,ok
iis-pima-cov,9.0,229.82,218.66,ok,ok
lectsched-4-obj,0.0,11.75,11.56,ok,ok
lectsched-4-obj,1.0,34.01,44.46,ok,ok
lectsched-4-obj,2.0,97.73,136.04,ok,ok
lectsched-4-obj,3.0,63.66,40.7,ok,ok
lectsched-4-obj,4.0,132.86,174.25,ok,ok
lectsched-4-obj,5.0,79.18,73.21,ok,ok
lectsched-4-obj,6.0,34.14,49.92,ok,ok
lectsched-4-obj,7.0,28.71,44.51,ok,ok
lectsched-4-obj,8.0,96.52,51.8,ok,ok
lectsched-4-obj,9.0,75.37,117.52,ok,ok
m100n500k4r1,0.0,3600.0,3600.0,timelimit,timelimit
m100n500k4r1,1.0,3600.0,3600.0,timelimit,timelimit
m100n500k4r1,2.0,3600.0,3600.0,timelimit,timelimit
m100n500k4r1,3.0,3600.0,3600.0,timelimit,timelimit
m100n500k4r1,4.0,3600.0,3600.0,timelimit,timelimit
m100n500k4r1,5.0,3600.0,3600.0,timelimit,timelimit
m100n500k4r1,6.0,3600.0,3600.0,timelimit,timelimit
m100n500k4r1,7.0,3600.0,3600.0,timelimit,timelimit
m100n500k4r1,8.0,3600.0,3600.0,timelimit,timelimit
m100n500k4r1,9.0,3600.0,3600.0,timelimit,timelimit
macrophage,0.0,3600.0,3600.0,timelimit,timelimit
macrophage,1.0,3600.0,3600.01,timelimit,timelimit
macrophage,2.0,3600.0,3600.0,timelimit,timelimit
macrophage,3.0,3600.03,3600.02,timelimit,timelimit
macrophage,4.0,3600.0,3600.0,timelimit,timelimit
macrophage,5.0,3600.0,3600.0,timelimit,timelimit
macrophage,6.0,3600.0,3600.0,timelimit,timelimit
macrophage,7.0,3600.0,3600.0,timelimit,timelimit
macrophage,8.0,3600.0,3600.0,timelimit,timelimit
macrophage,9.0,3600.0,3600.0,timelimit,timelimit
map18,0.0,334.04,250.25,ok,ok
map18,1.0,264.34,295.81,ok,ok
map18,2.0,361.3,278.79,ok,ok
map18,3.0,369.39,342.69,ok,ok
map18,4.0,274.25,258.51,ok,ok
map18,5.0,249.15,237.15,ok,ok
map18,6.0,236.44,308.64,ok,ok
map18,7.0,345.85,317.96,ok,ok
map18,8.0,302.37,372.11,ok,ok
