Settings,,default,emphasis_easycip,emphasis_feasibility,emphasis_hardlp,emphasis_optimality,heuristics_aggressive,heuristics_fast,heuristics_off,presolving_aggressive,presolving_fast,presolving_off,separating_aggressive,separating_fast,separating_off,default,emphasis_easycip,emphasis_feasibility,emphasis_hardlp,emphasis_optimality,heuristics_aggressive,heuristics_fast,heuristics_off,presolving_aggressive,presolving_fast,presolving_off,separating_aggressive,separating_fast,separating_off
,,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,PDInt,PDInt,PDInt,PDInt,PDInt,PDInt,PDInt,PDInt,PDInt,PDInt,PDInt,PDInt,PDInt,PDInt
ProblemName,Seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1c1s1,3,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,17029.21,29880.29,36182.72,24885.48,24360.32,22167.15,21038.34,49011.42,16377.2,15184.69,19873.96,18349.79,25287.05,40610.99
a1c1s1,4,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,16137.58,30654.45,36721.34,22851.24,23530.58,23191.67,19961.27,60000.0,17205.5,16470.34,21635.95,18591.55,25800.67,41671.38
acc-tight4,0,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,better,solved_not_verified,better,solved_not_verified,solved_not_verified,better,better,solved_not_verified,better,solved_not_verified,23022.0,27519.0,7311.0,12419.0,60001.0,25974.0,60000.0,8489.0,11466.0,60000.0,60000.0,43181.0,60001.0,19230.0
acc-tight4,1,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,34602.0,16200.0,18201.0,11466.0,60001.0,22382.0,27207.0,13210.0,20886.0,18289.0,25896.0,34488.0,16651.0,31799.0
acc-tight4,2,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,better,solved_not_verified,9392.0,24323.0,13322.0,16900.0,60001.0,20689.0,29644.0,11844.0,25039.0,12446.0,25654.0,34396.0,60000.0,27463.0
acc-tight4,3,solved_not_verified,solved_not_verified,solved_not_verified,better,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,10495.0,42725.0,16470.0,60001.0,60000.0,25324.0,11609.0,40602.0,7591.0,40795.0,23766.0,27811.0,27636.0,23343.0
acc-tight4,4,solved_not_verified,better,solved_not_verified,better,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,6578.0,60000.0,8687.0,60000.0,60023.0,37662.0,28238.0,13654.0,6563.0,24223.0,19001.0,34227.0,31210.0,11568.0
acc-tight5,0,ok,timelimit,ok,ok,timelimit,ok,ok,ok,ok,ok,ok,ok,ok,ok,10318.0,60000.0,22181.0,31410.0,60000.0,14685.0,8219.0,26027.0,5800.0,37262.0,25299.0,19828.0,9099.0,21039.0
acc-tight5,1,ok,ok,ok,ok,timelimit,ok,ok,ok,ok,ok,ok,ok,ok,ok,7563.0,43206.0,10807.0,8163.0,60001.0,13751.0,13085.0,16195.0,5014.0,21405.0,38659.0,12835.0,4204.0,22548.0
acc-tight5,2,ok,ok,ok,timelimit,timelimit,ok,ok,ok,ok,ok,ok,ok,ok,ok,9900.0,30758.0,18012.0,60000.0,60001.0,14304.0,26036.0,33049.0,10215.0,11414.0,21217.0,11583.0,13573.0,28846.0
