Settings,,default,no-redcost,default,no-redcost
,,Status,Status,PDInt,PDInt
ProblemName,Seed,,,,
iis-bupa-cov,9.0,ok,ok,21843.12,21843.07
iis-pima-cov,0.0,ok,ok,3009.84,2879.76
iis-pima-cov,1.0,ok,ok,3140.84,2898.39
iis-pima-cov,2.0,ok,ok,2932.7,3030.45
iis-pima-cov,3.0,ok,ok,2923.26,2814.19
iis-pima-cov,4.0,ok,ok,3115.14,2707.19
iis-pima-cov,5.0,ok,ok,3073.35,2983.22
iis-pima-cov,6.0,ok,ok,2841.53,2881.64
iis-pima-cov,7.0,ok,ok,3157.87,2776.67
iis-pima-cov,8.0,ok,ok,3362.44,3393.17
iis-pima-cov,9.0,ok,ok,3014.64,2995.12
lectsched-4-obj,0.0,ok,ok,1174.0,1154.0
lectsched-4-obj,1.0,ok,ok,2743.13,3089.19
lectsched-4-obj,2.0,ok,ok,7230.34,8934.06
lectsched-4-obj,3.0,ok,ok,4462.64,3321.84
lectsched-4-obj,4.0,ok,ok,9730.39,9402.31
lectsched-4-obj,5.0,ok,ok,5806.42,5039.66
lectsched-4-obj,6.0,ok,ok,3005.64,3281.58
lectsched-4-obj,7.0,ok,ok,2410.46,3116.59
lectsched-4-obj,8.0,ok,ok,5856.75,4206.78
lectsched-4-obj,9.0,ok,ok,5480.61,8494.46
m100n500k4r1,0.0,timelimit,timelimit,14504.64,14510.28
m100n500k4r1,1.0,timelimit,timelimit,14541.6,14550.8
m100n500k4r1,2.0,timelimit,timelimit,14483.84,14478.24
m100n500k4r1,3.0,timelimit,timelimit,14489.6,14483.8
m100n500k4r1,4.0,timelimit,timelimit,14554.8,14556.76
m100n500k4r1,5.0,timelimit,timelimit,14484.08,14488.04
m100n500k4r1,6.0,timelimit,timelimit,14471.28,14472.16
m100n500k4r1,7.0,timelimit,timelimit,14656.72,14655.12
m100n500k4r1,8.0,timelimit,timelimit,14587.92,14587.36
m100n500k4r1,9.0,timelimit,timelimit,14489.96,14493.68
macrophage,0.0,timelimit,timelimit,69712.57,69987.03
macrophage,1.0,timelimit,timelimit,77181.12,75044.76
macrophage,2.0,timelimit,timelimit,70086.87,70569.01
macrophage,3.0,timelimit,timelimit,64166.96,65361.49
macrophage,4.0,timelimit,timelimit,80635.21,78130.72
macrophage,5.0,timelimit,timelimit,63891.52,61667.94
macrophage,6.0,timelimit,timelimit,76395.58,75097.56
macrophage,7.0,timelimit,timelimit,73830.65,72479.03
macrophage,8.0,timelimit,timelimit,68803.77,70219.16
macrophage,9.0,timelimit,timelimit,72726.26,71722.6
map18,0.0,ok,ok,4122.67,3362.75
map18,1.0,ok,ok,3392.2,3737.77
map18,2.0,ok,ok,4122.03,3663.26
map18,3.0,ok,ok,4145.67,3672.3
map18,4.0,ok,ok,3990.61,3668.18
map18,5.0,ok,ok,3188.7,3213.17
map18,6.0,ok,ok,3018.88,3327.55
map18,7.0,ok,ok,3363.89,3330.72
map18,8.0,ok,ok,3572.17,4129.52
map18,9.0,ok,ok,3683.74,3146.24
map20,0.0,ok,ok,2195.13,2155.96
map20,1.0,ok,ok,2547.18,2884.34
map20,2.0,ok,ok,2677.27,2966.53
map20,3.0,ok,ok,2621.08,2487.38
map20,4.0,ok,ok,2264.04,2068.38
map20,5.0,ok,ok,2580.14,2277.51
map20,6.0,ok,ok,2273.47,2799.97
map20,7.0,ok,ok,2015.66,2931.86
map20,8.0,ok,ok,2594.8,2313.58
map20,9.0,ok,ok,2692.22,2738.72
mcsched,0.0,ok,ok,1493.17,1288.05
mcsched,1.0,ok,ok,1257.89,1266.7
mcsched,2.0,ok,ok,1192.5,1298.35
mcsched,3.0,ok,ok,1754.0,1958.29
mcsched,4.0,ok,ok,1371.41,1467.59
mcsched,5.0,ok,ok,1248.71,1221.18
mcsched,6.0,ok,ok,1208.06,1246.27
mcsched,7.0,ok,ok,1351.42,1274.36
mcsched,8.0,ok,ok,834.68,970.12
mcsched,9.0,ok,ok,1393.53,1399.17
mik-250-1-100-1,0.0,ok,ok,719.18,2350.1
