Problem Name,default,emphasis_easycip,emphasis_feasibility,emphasis_hardlp,emphasis_optimality,heuristics_aggressive,heuristics_fast,heuristics_off,presolving_aggressive,presolving_fast,presolving_off,separating_aggressive,separating_fast,separating_off
sts405,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
sts729,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
swath,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
t1717,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
t1722,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
tanglegram1,480.84799999999996,479.968,366.472,600.0,600.0,469.026,420.86199999999997,600.0,474.95,543.034,570.466,600.0,457.84,407.838
tanglegram2,5.342,5.74,3.282,12.324,9.676,5.686,5.279999999999999,6.008000000000001,5.3580000000000005,6.847999999999999,6.973999999999999,12.196,4.83,2.4059999999999997
timtab1,377.54799999999994,600.0,600.0,600.0,575.89,374.856,381.146,393.072,566.4860000000001,600.0,600.0,526.8919999999999,600.0,600.0
timtab2,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
toll-like,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
tr12-30,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
transportmoment,367.078,270.666,408.852,260.99999999999994,374.788,481.28000000000003,16.371999999999996,15.680000000000001,484.93600000000004,600.0,600.0,374.338,364.63199999999995,361.31
triptim1,596.35,581.87,600.0,540.708,600.0,600.0,600.0,600.0,520.162,600.0,600.0,600.0,597.178,561.362
triptim2,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
triptim3,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
tw-myciel4,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
uc-case11,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
uc-case3,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
uct-subprob,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
unitcal_7,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
usAbbrv-8-25_70,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
van,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
vpm2,0.914,1.1759999999999997,2.91,1.026,1.404,1.2120000000000002,1.0779999999999998,1.076,0.9720000000000001,0.9380000000000001,6.5299999999999985,1.3000000000000003,1.08,11.016000000000002
vpphard,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
vpphard2,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
zib54-UUE,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
