Problem Name,default,emphasis_easycip,emphasis_feasibility,emphasis_hardlp,emphasis_optimality,heuristics_aggressive,heuristics_fast,heuristics_off,presolving_aggressive,presolving_fast,presolving_off,separating_aggressive,separating_fast,separating_off
bab3,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0
bab5,20850.474,20150.692,16783.146,53733.43400000001,58257.933999999994,18424.358,19473.884,20740.012,21059.694000000003,22286.706,20362.512,29963.894,19538.264000000003,23711.912000000004
bc1,3367.25,7136.144,22996.806,4328.142,2849.38,4605.578,4665.681999999999,4281.728,3490.834,3054.222,27221.276,3501.9020000000005,6689.056,8209.663999999999
beasleyC3,8815.11,26173.27,28767.952,20332.642,10129.17,8486.274000000001,11185.174,24188.309999999998,8791.068,8746.793999999998,33946.522000000004,9536.336,22960.14,36325.871999999996
bell3a,1.9679999999999995,2.374,3.878,2.2540000000000004,2.2299999999999995,4.093999999999999,1.9700000000000002,4.938000000000001,1.998,2.5740000000000003,27.238,2.114,1.178,1.754
bell5,2.652,21.208,8.735999999999999,24.056,2.652,4.4719999999999995,2.63,2.804,2.8499999999999996,20.924,41.478,2.2540000000000004,3.038,4.837999999999999
berlin_5_8_0,7602.718000000001,24988.43,5938.722,25290.769999999997,12486.432,10428.672,25321.034,57904.114,8690.908,8838.651999999998,10973.366,9870.990000000002,10738.957999999999,10367.416000000001
bg512142,18516.678,25313.18,16718.886,48585.734,35506.732,16857.976,32970.716,54187.06800000001,17284.414,15889.114000000001,18129.174,17909.158000000003,17093.164,15276.688
biella1,5107.654,19462.466,5649.868,29557.968000000004,29139.295999999995,6206.728,24668.124,53811.038,5616.59,5372.505999999999,4362.12,7299.8679999999995,5075.988,5517.014
bienst1,1697.4239999999998,1574.994,1807.2400000000002,1150.8880000000001,2254.868,2103.952,1521.38,1459.6060000000002,1682.2079999999999,1423.4279999999999,1804.482,1661.7720000000002,2035.3879999999997,782.95
bienst2,7413.278,6162.14,7341.196000000001,4900.386,9275.433999999997,7963.185999999999,5420.028,8221.904,7431.4259999999995,6284.446,12186.846,9017.98,6858.986,3862.244
binkar10_1,111.934,392.168,395.38,439.154,148.27,122.61599999999999,196.456,1054.7599999999998,125.15,111.806,177.32999999999998,117.96799999999999,297.25200000000007,413.922
blend2,20.676,116.758,147.67200000000003,184.146,298.63800000000003,46.635999999999996,137.706,122.728,19.948,19.764,20.028,301.87199999999996,11.48,85.088
bley_xl1,24519.862,60000.0,25207.093999999997,60000.0,24124.796,24636.938000000002,27288.614,25922.922,60000.0,60000.0,60000.0,22500.552000000003,21802.961999999996,25370.935999999998
blp-ic97,5184.98,6566.2699999999995,3699.722,7728.8,6403.832,4182.24,6525.562000000001,11612.083999999999,5206.532000000001,5651.392,7477.658,5506.7919999999995,5590.134,6967.6
bnatt350,41141.8,35939.8,34323.4,23616.8,60000.0,33152.2,41065.2,50174.2,24436.0,31895.2,20406.0,49059.8,15263.6,11408.0
bnatt400,57344.2,57293.6,49880.2,30517.0,60000.0,58206.0,60000.0,60000.0,57941.6,40464.4,33171.0,60000.0,36752.6,25880.0
cap6000,25.145999999999997,15.744,36.712,15.330000000000002,27.206,36.486000000000004,25.548000000000002,108.24000000000001,149.512,15.38,12.51,26.582,24.548,25.338
cdma,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,59936.14,60000.0,60000.0,60000.0
circ10-3,60000.0,60000.0,58348.45,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0
co-100,55212.704000000005,54982.293999999994,53712.126000000004,55171.424,55162.295999999995,54972.23999999999,55215.058,60000.0,60000.0,54226.728,55201.592000000004,55234.81800000001,55083.71799999999,50109.938
core2536-691,1569.8719999999998,8760.376,1468.126,9771.848,2131.938,1551.942,7428.698000000001,43410.278000000006,1516.0439999999999,2332.4139999999998,2360.708,1890.9060000000002,1555.548,1782.484
core4872-1529,10299.34,18693.364,13037.065999999999,18682.396,15235.560000000001,13083.774,13108.8,60000.0,10870.742,13720.591999999999,14082.172,12753.51,10258.84,17966.588
cov1075,6129.892,10435.645999999999,6090.158,6130.338,6756.9619999999995,6076.639999999999,6282.2159999999985,6483.165999999999,6135.9980000000005,6128.076,6242.26,6110.778,6630.3,6563.436
csched010,19063.284,22012.716,17369.838,21672.542,19868.818,13995.658,19412.294,22593.698,14911.624,15494.151999999998,23413.958000000002,17805.574,14322.056,13359.405999999999
d10200,273.04200000000003,475.0400000000001,234.66799999999998,739.02,341.622,217.91400000000004,10676.566,60000.0,291.31800000000004,215.946,280.614,248.458,272.994,273.02799999999996
d20200,1152.8359999999998,3347.5520000000006,1153.0459999999998,2997.194,1664.45,1074.474,3332.8259999999996,60000.0,1165.432,1007.4300000000001,1068.0579999999998,1098.56,1153.876,1153.0059999999999
dano3_3,3671.34,3669.2240000000006,4805.432,3745.0,3793.704,4816.494000000001,3672.9479999999994,12011.498000000001,3461.892,3658.3960000000006,3895.0080000000003,3855.7100000000005,3704.8240000000005,3728.928
dano3_4,3630.642,3589.9600000000005,4320.789999999999,3667.632,3785.0480000000002,4355.889999999999,3641.3940000000002,24869.764000000003,3216.328,3601.28,4099.048000000001,3785.156,3645.2400000000002,3643.2740000000003
dano3_5,3878.5020000000004,3843.582,4578.968,3897.814,4089.25,4581.454,3925.5520000000006,38597.695999999996,3528.2660000000005,3879.7039999999993,3785.796,4074.778,3835.8379999999997,3920.1459999999997
dano3mip,24031.674,24340.010000000002,25012.764,22446.21,24350.858,25352.61,24336.772000000004,60000.0,23560.81,23830.138,23664.338000000003,23969.832000000002,21648.345999999998,19078.586
